PaperID,Paper,Authors,Year,FigureOrTable,MotionType,MotionPlane,MeasurementMethod,HealthyOnly,SampleSize,Direction,Loaded,HT_Elevation_deg,GH_Elevation_deg,ST_UpwardRotation_deg,ST_PosteriorTilt_deg,ST_InternalRotation_deg,SC_Elevation_deg,SC_PosteriorRotation_deg,AC_UpwardRotation_deg,GH_Plane_deg,GH_ExternalRotation_deg,Mean,SD,SEM,ConfidenceInterval,DataSource,ExtractionMethod,Notes
Forte2009,Scapular kinematics and scapulohumeral rhythm during resisted shoulder abduction - Implications for clinical practice,Forte FC; de Castro MP; de Toledo JM; Ribeiro DC; Loss JF,2009,Figure 4,Quasi-static shoulder abduction,Coronal/frontal plane,Five-camera 3D skin-marker videogrammetry with repeated scapular landmark palpation,True,11,Raising,False,10,,,,37.367,,,,,,37.367,,,,Scapular kinematics.pdf,Equation,Published cubic equation sampled at 5-degree HT increments; ST internal rotation; original paper convention; y=-2E-05x^3+0.0058x^2-0.5583x+42.39. No interpolation or smoothing.
Forte2009,Scapular kinematics and scapulohumeral rhythm during resisted shoulder abduction - Implications for clinical practice,Forte FC; de Castro MP; de Toledo JM; Ribeiro DC; Loss JF,2009,Figure 4,Quasi-static shoulder abduction,Coronal/frontal plane,Five-camera 3D skin-marker videogrammetry with repeated scapular landmark palpation,True,11,Raising,False,15,,,,35.253,,,,,,35.253,,,,Scapular kinematics.pdf,Equation,Published cubic equation sampled at 5-degree HT increments; ST internal rotation; original paper convention; y=-2E-05x^3+0.0058x^2-0.5583x+42.39. No interpolation or smoothing.
Forte2009,Scapular kinematics and scapulohumeral rhythm during resisted shoulder abduction - Implications for clinical practice,Forte FC; de Castro MP; de Toledo JM; Ribeiro DC; Loss JF,2009,Figure 4,Quasi-static shoulder abduction,Coronal/frontal plane,Five-camera 3D skin-marker videogrammetry with repeated scapular landmark palpation,True,11,Raising,False,20,,,,33.384,,,,,,33.384,,,,Scapular kinematics.pdf,Equation,Published cubic equation sampled at 5-degree HT increments; ST internal rotation; original paper convention; y=-2E-05x^3+0.0058x^2-0.5583x+42.39. No interpolation or smoothing.
Forte2009,Scapular kinematics and scapulohumeral rhythm during resisted shoulder abduction - Implications for clinical practice,Forte FC; de Castro MP; de Toledo JM; Ribeiro DC; Loss JF,2009,Figure 4,Quasi-static shoulder abduction,Coronal/frontal plane,Five-camera 3D skin-marker videogrammetry with repeated scapular landmark palpation,True,11,Raising,False,25,,,,31.745,,,,,,31.745,,,,Scapular kinematics.pdf,Equation,Published cubic equation sampled at 5-degree HT increments; ST internal rotation; original paper convention; y=-2E-05x^3+0.0058x^2-0.5583x+42.39. No interpolation or smoothing.
Forte2009,Scapular kinematics and scapulohumeral rhythm during resisted shoulder abduction - Implications for clinical practice,Forte FC; de Castro MP; de Toledo JM; Ribeiro DC; Loss JF,2009,Figure 4,Quasi-static shoulder abduction,Coronal/frontal plane,Five-camera 3D skin-marker videogrammetry with repeated scapular landmark palpation,True,11,Raising,False,30,,,,30.321,,,,,,30.321,,,,Scapular kinematics.pdf,Equation,Published cubic equation sampled at 5-degree HT increments; ST internal rotation; original paper convention; y=-2E-05x^3+0.0058x^2-0.5583x+42.39. No interpolation or smoothing.
Forte2009,Scapular kinematics and scapulohumeral rhythm during resisted shoulder abduction - Implications for clinical practice,Forte FC; de Castro MP; de Toledo JM; Ribeiro DC; Loss JF,2009,Figure 4,Quasi-static shoulder abduction,Coronal/frontal plane,Five-camera 3D skin-marker videogrammetry with repeated scapular landmark palpation,True,11,Raising,False,35,,,,29.097,,,,,,29.097,,,,Scapular kinematics.pdf,Equation,Published cubic equation sampled at 5-degree HT increments; ST internal rotation; original paper convention; y=-2E-05x^3+0.0058x^2-0.5583x+42.39. No interpolation or smoothing.
Forte2009,Scapular kinematics and scapulohumeral rhythm during resisted shoulder abduction - Implications for clinical practice,Forte FC; de Castro MP; de Toledo JM; Ribeiro DC; Loss JF,2009,Figure 4,Quasi-static shoulder abduction,Coronal/frontal plane,Five-camera 3D skin-marker videogrammetry with repeated scapular landmark palpation,True,11,Raising,False,40,,,,28.058,,,,,,28.058,,,,Scapular kinematics.pdf,Equation,Published cubic equation sampled at 5-degree HT increments; ST internal rotation; original paper convention; y=-2E-05x^3+0.0058x^2-0.5583x+42.39. No interpolation or smoothing.
Forte2009,Scapular kinematics and scapulohumeral rhythm during resisted shoulder abduction - Implications for clinical practice,Forte FC; de Castro MP; de Toledo JM; Ribeiro DC; Loss JF,2009,Figure 4,Quasi-static shoulder abduction,Coronal/frontal plane,Five-camera 3D skin-marker videogrammetry with repeated scapular landmark palpation,True,11,Raising,False,45,,,,27.189,,,,,,27.189,,,,Scapular kinematics.pdf,Equation,Published cubic equation sampled at 5-degree HT increments; ST internal rotation; original paper convention; y=-2E-05x^3+0.0058x^2-0.5583x+42.39. No interpolation or smoothing.
Forte2009,Scapular kinematics and scapulohumeral rhythm during resisted shoulder abduction - Implications for clinical practice,Forte FC; de Castro MP; de Toledo JM; Ribeiro DC; Loss JF,2009,Figure 4,Quasi-static shoulder abduction,Coronal/frontal plane,Five-camera 3D skin-marker videogrammetry with repeated scapular landmark palpation,True,11,Raising,False,50,,,,26.475,,,,,,26.475,,,,Scapular kinematics.pdf,Equation,Published cubic equation sampled at 5-degree HT increments; ST internal rotation; original paper convention; y=-2E-05x^3+0.0058x^2-0.5583x+42.39. No interpolation or smoothing.
Forte2009,Scapular kinematics and scapulohumeral rhythm during resisted shoulder abduction - Implications for clinical practice,Forte FC; de Castro MP; de Toledo JM; Ribeiro DC; Loss JF,2009,Figure 4,Quasi-static shoulder abduction,Coronal/frontal plane,Five-camera 3D skin-marker videogrammetry with repeated scapular landmark palpation,True,11,Raising,False,55,,,,25.901,,,,,,25.901,,,,Scapular kinematics.pdf,Equation,Published cubic equation sampled at 5-degree HT increments; ST internal rotation; original paper convention; y=-2E-05x^3+0.0058x^2-0.5583x+42.39. No interpolation or smoothing.
Forte2009,Scapular kinematics and scapulohumeral rhythm during resisted shoulder abduction - Implications for clinical practice,Forte FC; de Castro MP; de Toledo JM; Ribeiro DC; Loss JF,2009,Figure 4,Quasi-static shoulder abduction,Coronal/frontal plane,Five-camera 3D skin-marker videogrammetry with repeated scapular landmark palpation,True,11,Raising,False,60,,,,25.452,,,,,,25.452,,,,Scapular kinematics.pdf,Equation,Published cubic equation sampled at 5-degree HT increments; ST internal rotation; original paper convention; y=-2E-05x^3+0.0058x^2-0.5583x+42.39. No interpolation or smoothing.
